file name,visibility,x-coordinate,y-coordinate,status,shot,image_data,game,clip
0000.jpg,1,599.0,423.0,0.0,5.0,"[[[ 19   3   0]
  [ 26  13   0]
  [ 24  12   2]
  ...
  [ 19   2   5]
  [ 20   0  14]
  [ 13   0  12]]

 [[ 87  71  58]
  [ 85  72  58]
  [ 72  60  50]
  ...
  [100  81  84]
  [ 94  74  87]
  [ 82  62  81]]

 [[156 140 127]
  [146 133 119]
  [126 114 104]
  ...
  [189 170 173]
  [165 145 158]
  [139 117 135]]

 ...

 [[113 152 130]
  [113 152 130]
  [113 152 130]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[113 152 130]
  [113 152 130]
  [113 152 130]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[113 152 130]
  [113 152 130]
  [113 152 130]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]]",1,1
0001.jpg,1,601.0,406.0,0.0,5.0,"[[[ 19   5   0]
  [ 26  13   0]
  [ 24  13   0]
  ...
  [ 19   2   5]
  [ 20   0  14]
  [ 13   0  12]]

 [[ 87  73  55]
  [ 85  72  56]
  [ 72  61  47]
  ...
  [100  81  84]
  [ 94  74  87]
  [ 82  62  81]]

 [[156 142 124]
  [146 133 117]
  [126 115 101]
  ...
  [189 170 173]
  [165 145 158]
  [139 117 135]]

 ...

 [[113 152 130]
  [113 152 130]
  [113 152 130]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[113 152 130]
  [113 152 130]
  [113 152 130]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[113 152 130]
  [113 152 130]
  [113 152 130]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]]",1,1
0002.jpg,1,601.0,388.0,0.0,5.0,"[[[ 19   5   0]
  [ 26  13   0]
  [ 24  13   0]
  ...
  [ 19   2   5]
  [ 20   0  14]
  [ 13   0  12]]

 [[ 87  73  55]
  [ 85  72  56]
  [ 72  61  47]
  ...
  [100  81  84]
  [ 94  74  87]
  [ 82  62  81]]

 [[156 142 124]
  [146 133 117]
  [126 115 101]
  ...
  [189 170 173]
  [165 145 158]
  [139 117 135]]

 ...

 [[115 154 133]
  [115 154 133]
  [114 153 132]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[115 154 133]
  [115 154 133]
  [114 153 132]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[115 154 133]
  [115 154 133]
  [114 153 132]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]]",1,1
0003.jpg,1,598.0,371.0,0.0,5.0,"[[[ 25  10   0]
  [ 30  15   0]
  [ 23   7   0]
  ...
  [ 21   4   7]
  [ 21   1  14]
  [ 16   0  13]]

 [[ 91  76  60]
  [ 89  74  58]
  [ 72  56  44]
  ...
  [ 99  82  85]
  [ 93  73  86]
  [ 84  62  81]]

 [[156 143 127]
  [148 135 119]
  [125 111  99]
  ...
  [191 172 175]
  [165 145 158]
  [139 117 135]]

 ...

 [[115 154 133]
  [115 154 133]
  [114 153 132]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[115 154 133]
  [115 154 133]
  [114 153 132]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[115 154 133]
  [115 154 133]
  [114 153 132]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]]",1,1
0004.jpg,1,598.0,353.0,0.0,5.0,"[[[ 25  10   0]
  [ 30  15   0]
  [ 23   7   0]
  ...
  [ 16   7   3]
  [ 14   4  10]
  [  9   0   8]]

 [[ 91  76  60]
  [ 89  74  58]
  [ 72  56  44]
  ...
  [ 94  85  81]
  [ 88  76  82]
  [ 77  66  76]]

 [[156 143 127]
  [148 135 119]
  [125 111  99]
  ...
  [186 175 171]
  [160 148 154]
  [134 120 131]]

 ...

 [[115 154 133]
  [115 154 133]
  [114 153 132]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[115 154 133]
  [115 154 133]
  [114 153 132]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[115 154 133]
  [115 154 133]
  [114 153 132]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]]",1,1
0005.jpg,1,597.0,337.0,0.0,5.0,"[[[ 25  11   0]
  [ 30  16   0]
  [ 23   7   0]
  ...
  [ 16   7   3]
  [ 14   4  10]
  [  9   0   8]]

 [[ 91  77  59]
  [ 89  75  57]
  [ 72  56  43]
  ...
  [ 94  85  81]
  [ 88  76  82]
  [ 77  66  76]]

 [[156 144 126]
  [148 136 118]
  [125 112  98]
  ...
  [186 175 171]
  [160 148 154]
  [134 120 131]]

 ...

 [[114 152 130]
  [114 152 130]
  [114 152 130]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[114 152 130]
  [114 152 130]
  [114 152 130]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[114 152 130]
  [114 152 130]
  [114 152 130]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]]",1,1
0006.jpg,1,596.0,323.0,0.0,5.0,"[[[ 25  11   0]
  [ 30  16   0]
  [ 23   7   0]
  ...
  [ 16   7   3]
  [ 14   4  10]
  [  9   0   8]]

 [[ 91  77  59]
  [ 89  75  57]
  [ 72  56  43]
  ...
  [ 94  85  81]
  [ 88  76  82]
  [ 77  66  76]]

 [[156 144 126]
  [148 136 118]
  [125 112  98]
  ...
  [186 175 171]
  [160 148 154]
  [134 120 131]]

 ...

 [[114 152 130]
  [114 152 130]
  [114 152 130]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[114 152 130]
  [114 152 130]
  [114 152 130]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[114 152 130]
  [114 152 130]
  [114 152 130]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]]",1,1
0007.jpg,1,595.0,310.0,0.0,5.0,"[[[ 25  11   0]
  [ 30  16   0]
  [ 23   7   0]
  ...
  [ 16   7   3]
  [ 14   4  10]
  [  9   0   8]]

 [[ 91  77  59]
  [ 89  75  57]
  [ 72  56  43]
  ...
  [ 94  85  81]
  [ 88  76  82]
  [ 77  66  76]]

 [[156 144 126]
  [148 136 118]
  [125 112  98]
  ...
  [186 175 171]
  [160 148 154]
  [134 120 131]]

 ...

 [[113 151 129]
  [113 151 129]
  [113 151 129]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[113 151 129]
  [113 151 129]
  [113 151 129]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[113 151 129]
  [113 151 129]
  [113 151 129]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]]",1,1
0008.jpg,1,594.0,299.0,0.0,5.0,"[[[ 25  11   0]
  [ 30  16   0]
  [ 23   7   0]
  ...
  [ 16   7   3]
  [ 14   4  10]
  [  9   0   8]]

 [[ 91  77  59]
  [ 89  75  57]
  [ 72  56  43]
  ...
  [ 94  85  81]
  [ 88  76  82]
  [ 77  66  76]]

 [[156 144 126]
  [148 136 118]
  [125 112  98]
  ...
  [186 175 171]
  [160 148 154]
  [134 120 131]]

 ...

 [[113 151 129]
  [113 151 129]
  [113 151 129]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[113 151 129]
  [113 151 129]
  [113 151 129]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[113 151 129]
  [113 151 129]
  [113 151 129]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]]",1,1
0009.jpg,1,594.0,288.0,0.0,5.0,"[[[ 25  11   0]
  [ 30  16   0]
  [ 23   7   0]
  ...
  [ 16   7   3]
  [ 14   4  10]
  [  9   0   8]]

 [[ 91  77  59]
  [ 89  75  57]
  [ 72  56  43]
  ...
  [ 94  85  81]
  [ 88  76  82]
  [ 77  66  76]]

 [[156 144 126]
  [148 136 118]
  [125 112  98]
  ...
  [186 175 171]
  [160 148 154]
  [134 120 131]]

 ...

 [[113 151 129]
  [113 151 129]
  [113 151 129]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[113 151 129]
  [113 151 129]
  [113 151 129]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]

 [[113 151 129]
  [113 151 129]
  [113 151 129]
  ...
  [114 152 130]
  [114 152 130]
  [114 152 130]]]",1,1
